Date,Price,Open,High,Low,Vol.,Change %
1/1/1994,383.6,391.9,397.8,377.2,706.74K,-2.12%
12/1/1993,391.9,371.4,393.9,370.4,471.97K,5.38%
11/1/1993,371.9,368.6,381.2,360.7,666.68K,0.62%
10/1/1993,369.6,356.4,376.7,350,579.52K,3.50%
9/1/1993,357.1,374.4,375,343,652.41K,-4.95%
8/1/1993,375.7,410.4,414,367,713.86K,-8.66%
7/1/1993,411.3,378.9,411.7,378.1,845.95K,8.47%
6/1/1993,379.2,379.7,381,361.7,727.87K,-0.29%
5/1/1993,380.3,358.8,386.5,354.3,786.10K,6.47%
4/1/1993,357.2,338.6,358.5,336,600.56K,5.28%
3/1/1993,339.3,329.5,341.7,325.8,443.43K,3.10%
2/1/1993,329.1,330.2,334.6,327.8,358.35K,-0.48%
1/1/1993,330.7,329.1,333,326.3,325.22K,-0.72%
12/1/1992,333.1,335.8,340.1,332,21.93K,-0.72%
11/1/1992,335.5,339.9,340.8,328.9,,-1.35%
10/1/1992,340.1,348.9,353.4,336.9,,-2.66%
9/1/1992,349.4,345.5,354.5,340.3,,1.19%
8/1/1992,345.3,360.5,360.6,335,,-4.45%
7/1/1992,361.4,345.1,362,344.3,,4.94%
6/1/1992,344.4,338.7,346.9,338.2,,1.77%
5/1/1992,338.4,338.1,341.7,335.1,,0.15%
4/1/1992,337.9,346,346.9,334.9,,-2.20%
3/1/1992,345.5,351.3,353,336.3,,-2.43%
2/1/1992,354.1,359.5,360.5,349.4,,-1.34%
1/1/1992,358.9,351.2,361.5,348.5,,1.41%
12/1/1991,353.9,371.6,374.9,352.3,,-4.63%
11/1/1991,371.1,359.5,371.2,353.6,,3.23%
10/1/1991,359.5,357.1,367.4,356.7,,0.62%
9/1/1991,357.3,351.3,359.5,346,,1.25%
8/1/1991,352.9,370.7,370.9,350.1,,-4.83%
7/1/1991,370.8,370.2,373.2,362.3,,0.22%
6/1/1991,370,366.8,377.9,361.5,,1.43%
5/1/1991,364.8,358.6,367.7,354.6,,1.98%
4/1/1991,357.7,359.1,368.2,352.6,,-0.47%
3/1/1991,359.4,368.5,372.8,354.5,,-2.60%
2/1/1991,369,371.5,373.7,357,,0.14%
1/1/1991,368.5,395.1,406.9,367.8,,-6.99%
12/1/1990,396.2,384.9,396.5,369.1,,2.72%
11/1/1990,385.7,383,393.3,376,,1.15%
10/1/1990,381.3,402.9,404,361.5,,-6.57%
9/1/1990,408.1,390.1,414.3,381.6,,4.86%
8/1/1990,389.2,379.3,425,379.2,,2.64%
7/1/1990,379.2,359.5,382.2,352,,5.36%
6/1/1990,359.9,367.5,368.9,348.2,,-2.36%
5/1/1990,368.6,372.4,377.6,361,,-0.75%
4/1/1990,371.4,372.3,385.4,367.7,,-0.96%
3/1/1990,375,409.3,410.4,362.5,,-8.29%
2/1/1990,408.9,418.8,430.3,407.5,,-2.13%
